food,calories,protein,carbs,fat,sugar,sodium,gi,diabetes_label,hypertension_label,cvd_label,pcos_label,obesity_label,meal_type,target_audience,food_type,region
"Kancheepuram Idli (2 pcs) w/ Spicy Chutney",320,8.0,55.0,6.0,1.0,450,55,Recommended,Moderate,Recommended,Moderate,Recommended,Breakfast,All,Veg,South
"Puttu (1 Pc - Ragi Version) w/ Kadala Curry",480,16.0,75.0,10.0,3.0,400,50,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Veg,South
"Bread Upma (1 Bowl - Whole Wheat) w/ Peanuts",350,10.0,50.0,12.0,4.0,500,60,Moderate,Moderate,Recommended,Moderate,Recommended,Breakfast,Kids,Veg,South
"Soya Keema Pav (2 Whole Wheat Pav)",420,25.0,40.0,14.0,3.0,600,45,Recommended,Moderate,Recommended,Recommended,Recommended,Breakfast,Adults,Veg,North
"Oats & Besan Chilla (2 Medium) w/ Mint Yogurt",340,14.0,42.0,10.0,1.0,300,40,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,All,Veg,North
"Paneer Paratha (1 Large) w/ Pickle (Low Oil)",550,18.0,55.0,28.0,2.0,850,55,Moderate,Avoid,Moderate,Moderate,Avoid,Breakfast,Kids,Veg,North
"Vegetable Dalia Pulao (1 Bowl) w/ Raita",320,10.0,55.0,6.0,2.0,300,45,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Seniors,Veg,North
"Macher Jhol (Fish Curry - 2 Pcs) w/ Brown Rice",520,35.0,50.0,15.0,1.0,450,50,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Adults,Non-Veg,East
"Litti Chokha (2 Littis - Baked) w/ Moderate Ghee",600,16.0,85.0,20.0,4.0,650,55,Moderate,Moderate,Moderate,Recommended,Avoid,Lunch,Adults,Veg,North
"Chicken Chettinad (Home Style) w/ 2 Chapati",580,35.0,45.0,25.0,1.0,550,50,Recommended,Moderate,Moderate,Recommended,Recommended,Lunch,Adults,Non-Veg,South
"Gatte Ki Sabzi (1 Bowl) w/ 2 Bajra Roti",480,14.0,55.0,20.0,3.0,500,50,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Adults,Veg,North
"Spinach Dal (1 Bowl) w/ Jeera Rice (1 Cup)",420,16.0,65.0,8.0,1.0,400,50,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,All,Veg,North
"Keema Matar (Chicken - 1 Bowl) w/ 2 Multigrain Roti",500,38.0,35.0,20.0,2.0,550,40,Recommended,Moderate,Recommended,Recommended,Recommended,Lunch,Adults,Non-Veg,North
"Kadhi Chawal (1 Bowl Kadhi + 1.5 Cup Rice)",480,12.0,75.0,12.0,2.0,500,60,Moderate,Recommended,Recommended,Moderate,Recommended,Lunch,All,Veg,North
"Veg Biryani (1.5 Cups - Brown Rice) w/ Burani Raita",450,10.0,70.0,12.0,3.0,550,55,Recommended,Moderate,Recommended,Recommended,Recommended,Lunch,All,Veg,South
"Paneer Makhani (Low Fat) w/ 2 Phulka",520,18.0,50.0,26.0,4.0,500,55,Recommended,Recommended,Moderate,Moderate,Moderate,Lunch,All,Veg,North
"Egg Roast (2 Eggs - Kerala Style) w/ 2 Appam",550,18.0,60.0,24.0,3.0,550,55,Moderate,Moderate,Moderate,Recommended,Moderate,Lunch,Adults,Non-Veg,South
"Rajma Masala (1 Bowl) w/ Quinoa (1 Cup)",420,16.0,60.0,10.0,2.0,400,35,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,All,Veg,North
"Bhindi Fry (Air Fried) w/ Dal & Rice (Full Meal)",400,12.0,65.0,8.0,1.0,350,50,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,All,Veg,All
"Grilled Pomfret Fish (1 Whole - 200g) w/ Salad",350,30.0,5.0,20.0,0.0,300,0,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,Adults,Non-Veg,All
"Moong Dal Khichdi (1 Bowl) w/ Ghee & Curd",380,14.0,55.0,10.0,1.0,400,45,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,Seniors,Veg,North
"Chicken Clear Soup (Large Bowl) w/ Shredded Chicken",220,25.0,8.0,8.0,1.0,600,20,Recommended,Moderate,Recommended,Recommended,Recommended,Dinner,All,Non-Veg,All
"Pumpkin Soup (1 Bowl) w/ 1 Slice Garlic Toast",250,4.0,35.0,8.0,5.0,450,55,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,Seniors,Veg,All
"Lauki Chana Dal (1 Bowl) w/ 2 Phulka",320,12.0,50.0,6.0,2.0,300,40,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,Seniors,Veg,North
"Soya Chunk Pulao (1.5 Cups) w/ Raita",420,22.0,55.0,10.0,2.0,450,45,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,All,Veg,North
"Tandoori Chicken (2 Drumsticks) w/ Salad",350,40.0,5.0,18.0,0.0,550,0,Recommended,Moderate,Recommended,Recommended,Recommended,Dinner,Adults,Non-Veg,North
"Paneer Tikka Masala (Dry - 150g) w/ 1 Roti",400,22.0,25.0,22.0,3.0,500,35,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,All,Veg,North
"Millet Curd Rice (1 Bowl) w/ Cucumber & Pomegranate",300,8.0,45.0,8.0,4.0,250,40,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,Seniors,Veg,South
"Lemon Rice (1.5 Cups - Brown Rice) w/ Peanuts",380,8.0,60.0,12.0,1.0,400,50,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,All,Veg,South
"Sweet Corn Soup (1 Bowl - No Cornflour) w/ Egg Drop",180,10.0,22.0,5.0,3.0,500,45,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,All,Non-Veg,All
"Makhana (1 Cup - Roasted) w/ Black Salt",120,4.0,20.0,3.0,0.0,150,25,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,All
"Chana Jor Garam (1 Small Bowl) w/ Lemon",180,8.0,28.0,4.0,1.0,300,30,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,North
"Peanut Chaat (1 Small Bowl - Boiled) w/ Onion",250,12.0,18.0,14.0,2.0,200,15,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,All
"Masala Papad (1 Large - Roasted) w/ Kachumber",100,4.0,12.0,2.0,1.0,450,40,Recommended,Avoid,Recommended,Recommended,Recommended,Snack,All,Veg,North
"Fruit Chaat (1 Bowl) w/ Chaat Masala",150,2.0,35.0,1.0,25.0,150,55,Moderate,Recommended,Recommended,Moderate,Recommended,Snack,Kids,Veg,All
"Dhokla (3 Pcs - Rava) w/ Less Oil Tempering",200,6.0,30.0,6.0,1.0,350,50,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,Seniors,Veg,North
"Buttermilk (1 Glass - Spiced) w/ Flaxseeds",80,4.0,6.0,4.0,0.0,150,15,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,All
"Coconut Water (1 Glass) w/ Chia Seeds",60,1.0,12.0,1.0,8.0,30,40,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,All
"Til Laddu (1 Pc - Sesame & Jaggery)",150,4.0,18.0,8.0,12.0,5,45,Moderate,Recommended,Recommended,Moderate,Moderate,Snack,All,Veg,North
"Dry Bhel (1 Bowl) w/ Seeds & Nuts",180,5.0,35.0,2.0,1.0,300,60,Moderate,Moderate,Recommended,Moderate,Recommended,Snack,Kids,Veg,North
"Almond Milk (1 Glass - Unsweetened) w/ Saffron",120,4.0,4.0,10.0,0.0,50,15,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,All
"Cucumber & Carrot Sticks (1 Plate) w/ Hummus",150,6.0,18.0,7.0,2.0,250,15,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,All
"Egg White Bhurji (2 Eggs) w/ 1 Toast",200,18.0,15.0,6.0,1.0,350,20,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,Adults,Non-Veg,All
"Moong Dal Halwa (1 Small Bowl - Low Sugar)",280,6.0,35.0,12.0,18.0,20,55,Moderate,Recommended,Moderate,Avoid,Avoid,Snack,All,Veg,North
"Chicken Sandwich (1 Pc - Multigrain, No Mayo)",320,25.0,30.0,10.0,2.0,450,45,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,Kids,Non-Veg,All
"Sol Kadhi (1 Glass) w/ Kokum & Coconut Milk",120,2.0,10.0,8.0,4.0,100,30,Recommended,Recommended,Moderate,Recommended,Recommended,Snack,All,Veg,South
"Amla Juice (1 Shot - 50ml) w/ Honey",80,0.5,18.0,0.0,12.0,10,30,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,All
"Kerala Matta Rice (1 Cup) w/ Fish Curry (Kudampuli) & Thoran",550,30.0,65.0,12.0,2.0,550,55,Recommended,Moderate,Recommended,Recommended,Recommended,Lunch,Adults,Non-Veg,South
"Ragi Puttu (1 Pc) w/ Kadala Curry (Black Chickpeas)",420,16.0,60.0,10.0,2.0,400,50,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Veg,South
"Idiyappam (2 pcs) w/ Vegetable Stew (Light Coconut Milk)",380,8.0,65.0,10.0,3.0,350,55,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,South
"Cabbage Thoran (Large Bowl) w/ 2 Chapati",350,10.0,50.0,12.0,3.0,400,45,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,All,Veg,South
"Kanji (Red Rice Gruel) w/ Payar (Green Gram) & Pickle",380,14.0,65.0,5.0,1.0,450,55,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,Seniors,Veg,South
"Appam (2 pcs) w/ Egg Roast (Less Oil)",450,18.0,55.0,16.0,2.0,500,60,Moderate,Moderate,Moderate,Recommended,Moderate,Breakfast,Adults,Non-Veg,South
"Oats Dosa (3 pcs) w/ Tomato Chutney",320,12.0,45.0,10.0,1.0,400,45,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Wheat Dosa (Godhambu Dosa - 2 pcs) w/ Coconut Chutney",350,10.0,50.0,12.0,2.0,450,50,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,Seniors,Veg,South
"Mathi (Sardine) Fry (Air Fried - 3 pcs) w/ Onion Salad",250,22.0,5.0,15.0,0.0,300,0,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,Adults,Non-Veg,South
"Moru Curry (Buttermilk) w/ Matta Rice (1 Cup) & Mezhukkupuratti",480,12.0,70.0,14.0,2.0,500,55,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,All,Veg,South
"Horse Gram (Muthira) Thoran w/ Kanji",320,14.0,55.0,6.0,1.0,350,35,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,All,Veg,South
"Steamed Nendran Banana (Half) - No Sugar",140,2.0,35.0,0.5,18.0,5,55,Moderate,Recommended,Recommended,Moderate,Recommended,Snack,Kids,Veg,South
"Avial (Mixed Veg w/ Coconut) & 2 Phulka",400,10.0,55.0,16.0,3.0,450,50,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,All,Veg,South
"Kozhukatta (Wheat & Coconut Filling - 2 pcs)",320,6.0,50.0,10.0,12.0,50,55,Moderate,Recommended,Recommended,Moderate,Moderate,Snack,All,Veg,South
"Pathiri (Rice Roti - 2 pcs) w/ Chicken Curry (Kerala Style)",450,25.0,50.0,15.0,2.0,550,60,Moderate,Moderate,Recommended,Recommended,Recommended,Dinner,Adults,Non-Veg,South
"Soya Chunks Roast (Kerala Style) w/ 2 Chapati",420,24.0,45.0,14.0,2.0,500,45,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,All,Veg,South
"Unakkalari (Raw Rice) Porridge w/ Moong Dal",300,8.0,55.0,4.0,1.0,200,60,Moderate,Recommended,Recommended,Recommended,Recommended,Dinner,Seniors,Veg,South
"Cheera (Spinach) Thoran w/ 1/2 Cup Rice & Curd",300,10.0,45.0,8.0,1.0,300,45,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Seniors,Veg,South
"Ada (Steamed Rice Parcel) w/ Spiced Lentil Filling (Otada)",220,8.0,40.0,4.0,1.0,300,50,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,South
"Chicken Stew (Kerala Style) w/ Whole Wheat Bread (2)",450,28.0,35.0,18.0,2.0,600,50,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,Adults,Non-Veg,South
"Bitter Gourd (Pavakka) Theeyal w/ Matta Rice (Small Bowl)",380,8.0,55.0,12.0,3.0,450,45,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,All,Veg,South
"Chammanthi (Chutney) & Boiled Tapioca (Kappa - Small Portion)",400,4.0,85.0,5.0,2.0,350,70,Avoid,Recommended,Moderate,Avoid,Avoid,Snack,Adults,Veg,South
"Fish Pollichathu (Karimeen/Pearl Spot in Banana Leaf)",380,35.0,12.0,18.0,1.0,450,20,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Adults,Non-Veg,South
"Wheat Puttu (1 Pc) w/ Steamed Nendran Banana",350,8.0,72.0,4.0,18.0,200,55,Moderate,Recommended,Recommended,Moderate,Moderate,Breakfast,Adults,Veg,South
"Nurukku Gothambu (Broken Wheat) Upma w/ Veggies",320,10.0,55.0,8.0,1.0,350,45,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,South
"Neer Dosa (3 pcs) w/ Onion Tomato Chutney",300,6.0,58.0,6.0,1.0,400,50,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Meen Peera (Small Fish w/ Coconut & Kudampuli) & Rice",450,30.0,50.0,14.0,0.0,450,45,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Adults,Non-Veg,South
"Olan (Ash Gourd & Cowpeas in Coconut Milk) w/ Rice",400,12.0,60.0,14.0,2.0,350,50,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Seniors,Veg,South
"Kappa Puzhukku (Mashed Tapioca) w/ Fish Curry",650,25.0,95.0,20.0,4.0,600,85,Avoid,Moderate,Moderate,Avoid,Avoid,Lunch,Adults,Non-Veg,South
"Green Gram (Cherupayar) Curry w/ 2 Chapati",380,18.0,55.0,10.0,2.0,450,40,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,All,Veg,South
"Kumbalanga (Winter Melon) Curd Curry w/ Rice",350,8.0,55.0,10.0,2.0,300,50,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Seniors,Veg,South
"Prawn Roast (Kerala Style - Less Oil) w/ 2 Chapati",480,28.0,45.0,20.0,1.0,550,55,Recommended,Moderate,Moderate,Recommended,Recommended,Dinner,Adults,Non-Veg,South
"Vellayappam (No Sugar) w/ Veg Kurma",420,8.0,65.0,14.0,3.0,400,55,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Kadalikka (Chickpea) Sundal w/ Coconut",220,12.0,30.0,6.0,1.0,250,30,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,South
"Sambaram (Spiced Buttermilk w/ Ginger & Chili)",60,2.0,4.0,2.0,0.0,150,15,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,South
"Rasam Rice (Brown Rice) w/ Roasted Papad",350,6.0,65.0,8.0,1.0,500,55,Recommended,Moderate,Recommended,Recommended,Recommended,Dinner,Seniors,Veg,South
"Beans Mezhukkupuratti (Stir Fry) w/ 2 Chapati",320,10.0,48.0,12.0,2.0,350,45,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,All,Veg,South
"Parippu Vada (Baked/Air Fried - 2 pcs)",180,8.0,22.0,6.0,0.0,250,40,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,South
"Egg Roast (Boiled Egg in Onion Masala) w/ 2 Wheat Porotta",550,18.0,60.0,28.0,2.0,600,60,Moderate,Moderate,Moderate,Recommended,Avoid,Dinner,Adults,Non-Veg,South
"Chiratta Puttu (Wheat) w/ Steamed Banana",300,6.0,60.0,4.0,12.0,100,55,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Kumbilappam (Jackfruit Dumpling - Steamed)",250,4.0,45.0,8.0,15.0,10,55,Moderate,Recommended,Recommended,Moderate,Moderate,Snack,Kids,Veg,South
"Chicken Thoran (Minced Chicken w/ Coconut) w/ Rice",480,35.0,45.0,18.0,0.0,500,40,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Adults,Non-Veg,South
"Vendakka (Okra) Kichadi (Yogurt Dip) w/ Rice",380,10.0,60.0,10.0,2.0,350,50,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Seniors,Veg,South
"Soya Chunk Cutlet (Air Fried - 2 pcs)",200,14.0,18.0,8.0,1.0,300,35,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,Kids,Veg,South
"Unakkalari (Rice) Kanji w/ Vanpayar (Red Cowpeas) Thoran",400,14.0,70.0,6.0,1.0,400,50,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,Seniors,Veg,South
"Semiya (Vermicelli) Upma w/ Lots of Veggies",350,8.0,58.0,10.0,1.0,400,55,Moderate,Recommended,Recommended,Moderate,Recommended,Breakfast,Kids,Veg,South
"Malabar Spinach (Basella) Curry w/ Rice",320,8.0,55.0,8.0,1.0,300,45,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,All,Veg,South
"Chakka Puzhukku (Raw Jackfruit) w/ Fish Curry",400,22.0,45.0,12.0,2.0,500,45,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Seniors,Non-Veg,South
"Vazha Pindi (Banana Stem) Thoran w/ Rice",320,6.0,50.0,8.0,1.0,300,40,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,All,Veg,South
"Netholi (Anchovy) Peera (Small Fish w/ Coconut)",380,32.0,10.0,18.0,0.0,400,20,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Adults,Non-Veg,South
"Erissery (Pumpkin & Cowpeas) w/ 1/2 Cup Rice",350,12.0,55.0,10.0,3.0,350,50,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Seniors,Veg,South
"Koottu Curry (Raw Banana & Black Chickpea) w/ Rice",420,16.0,65.0,12.0,2.0,450,50,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,All,Veg,South
"Vattayappam (Steamed Rice Cake - 1 Slice)",220,4.0,45.0,2.0,8.0,100,55,Moderate,Recommended,Recommended,Moderate,Moderate,Snack,Kids,Veg,South
"Muringayila (Drumstick Leaves) Curry w/ Rice",300,10.0,50.0,6.0,1.0,350,40,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Seniors,Veg,South
"Beetroot Pachadi (Yogurt Dip) w/ Rice",320,8.0,55.0,6.0,6.0,300,50,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,All,Veg,South
"Kappa Biryani (Tapioca Mix w/ Meat - Small Bowl)",650,25.0,80.0,25.0,2.0,700,75,Avoid,Avoid,Avoid,Avoid,Avoid,Dinner,Adults,Non-Veg,South
"Thalassery Chicken Biryani (Small Portion) w/ Salad",600,28.0,65.0,22.0,2.0,650,60,Moderate,Moderate,Moderate,Avoid,Avoid,Lunch,Adults,Non-Veg,South
"Inji Curry (Ginger Curry) & Curd Rice",380,8.0,60.0,10.0,5.0,450,50,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Seniors,Veg,South
"Avil (Beaten Rice) Milkshake w/ Banana (No Sugar)",350,8.0,60.0,8.0,15.0,100,60,Moderate,Recommended,Recommended,Moderate,Moderate,Snack,Kids,Veg,South
"Kallappam (Toddy/Yeast Pancake - 2 pcs) w/ Stew",400,6.0,65.0,8.0,3.0,300,55,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Ulli Theeyal (Shallot Curry) w/ 2 Chapati",420,8.0,55.0,18.0,4.0,500,50,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,All,Veg,South
"Chemmeen (Prawn) Roast (Less Oil) w/ Rice",520,30.0,45.0,22.0,1.0,600,55,Moderate,Moderate,Moderate,Recommended,Moderate,Lunch,Adults,Non-Veg,South
"Chena (Elephant Yam) Mezhukkupuratti w/ Rice",450,8.0,70.0,14.0,2.0,400,65,Moderate,Recommended,Recommended,Moderate,Moderate,Lunch,Adults,Veg,South
"Pazham Pori (Banana Fritter - Air Fried/Baked)",220,2.0,40.0,6.0,15.0,100,60,Moderate,Recommended,Recommended,Avoid,Avoid,Snack,Kids,Veg,South
"Ada Pradhaman (Dessert - Small Cup)",350,4.0,65.0,10.0,35.0,50,80,Avoid,Recommended,Moderate,Avoid,Avoid,Snack,All,Veg,South
"Pineapple Pulissery (Yogurt Curry) w/ Rice",380,6.0,65.0,8.0,12.0,350,55,Moderate,Recommended,Recommended,Moderate,Recommended,Lunch,Kids,Veg,South
